Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,tsum,tot_tres_ratio
uk,sox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,26166.9885271041,26166.9885271041,26166.9885271041,1
ie,sox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1855.66713665774,1855.66713665774,1855.66713665774,1
sea,sox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ow,sox,grouped,2022,2024,sec01,A_PublicPower,1,PublicPower,annual,1476.75894977607,1476.75894977607,1476.75894977607,1
uk,sox,grouped,2022,2024,sec02,B_Industry,3,Industry,annual,44512.5684506924,44512.5684506924,44512.5684506924,1
ie,sox,grouped,2022,2024,sec02,B_Industry,3,Industry,annual,1772.0874928773,1772.0874928773,1772.0874928773,1
sea,sox,grouped,2022,2024,sec02,B_Industry,3,Industry,annual,0.0608747295610139,0.0608747295610139,0.0608747295610139,1
ow,sox,grouped,2022,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,sox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,38421.2807462393,38421.2807462393,38421.2807462393,1
ie,sox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,5578.69161460408,5578.69161460408,5578.69161460408,1
sea,sox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.143501804920495,0.143501804920495,0.143501804920495,1
ow,sox,grouped,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,sox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,sox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
sea,sox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ow,sox,grouped,2022,2024,sec04,D_Fugitive,5,Fugitive,annual,0.0600000000000001,0.0600000000000001,0.0600000000000001,1
uk,sox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,annual,813.554229916298,813.554229916298,813.554229916298,1
ie,sox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,annual,0.130820985139999,0.130820985139999,0.130820985139999,1
sea,sox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,annual,0.000503167700441831,0.000503167700441831,0.000503167700441831,1
ow,sox,grouped,2022,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,sox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,412.689005104408,412.689005104408,412.689005104408,1
ie,sox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,43.2925338126075,43.2925338126075,43.2925338126075,1
sea,sox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,5.42223163997564e-05,5.42223163997564e-05,5.42223163997564e-05,1
ow,sox,grouped,2022,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
uk,sox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
ie,sox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,annual,26.5312847109758,26.5312847109758,26.5312847109758,1
sea,sox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,annual,60.9603832369366,60.9603832369366,60.9603832369366,1
ow,sox,grouped,2022,2024,sec07,G_Shipping,8,Shipping,annual,31.4636595863318,31.4636595863318,31.4636595863318,1
uk,sox,grouped,2022,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
ie,sox,grouped,2022,2024,sec08,H_Aviation,8,Aviation,annual,81.7651108741739,81.7651108741739,81.7651108741739,1
sea,sox,grouped,2022,2024,sec08,H_Aviation,8,Aviation,annual,0.000397281825900902,0.000397281825900902,0.000397281825900902,1
ow,sox,grouped,2022,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
uk,sox,grouped,2022,2024,sec09,I_Offroad,8,Offroad,annual,4870.36288038144,4870.36288038144,4870.36288038144,1
ie,sox,grouped,2022,2024,sec09,I_Offroad,8,Offroad,annual,3.2742891140082,3.2742891140082,3.2742891140082,1
sea,sox,grouped,2022,2024,sec09,I_Offroad,8,Offroad,annual,4017.97649539385,4017.97649539385,4017.97649539385,1
